Train_Station,Street_Name,Street_Type,Entrance_Type,LAT,LONG,0
Hilldale,Hilldale,Rd,Ramp,-32.50448435,151.649805,124
Holsworthy,The Boulevarde,,Lift,-33.96282915,150.9563519,125
Homebush,Loftus,Cres,Stairs,-33.86641951,151.0864214,126
Hornsby,Station,St,Path,-33.70347962,151.0980916,127
Hurlstone Park,Duntroon,St,Path,-33.91018981,151.1325419,128
Hurstville,Forest,Rd,Ramp,-33.96651714,151.1019021,129
Ingleburn,Stanley,Rd,Ramp,-33.99742169,150.8643133,130
International,Departure,Plaza,Escalators,-33.93518102,151.166541,131
Jannali,Railway,Cres,Path,-34.0158836,151.0647566,132
John Street Square,Harvey,St,Stairs,-33.86716237,151.192075,133
Jubilee Park LR,Chapman,Rd,Stairs,-33.87532035,151.1786149,134
Katoomba,Goldsmith,Pl,Ramp,-33.71194806,150.3121686,135
Kembla Grange,West Dapto,,Ramp,-34.47012644,150.8177961,136
Kiama,Railway,Pde,Path,-34.67259919,150.8543663,137
Killara,Werona,Av,Stairs,-33.76569485,151.1620999,138
Kings Cross,Victoria,St,Stairs,-33.87403189,151.2225037,139
Kingsgrove,Kingsgrove,Rd,Stairs,-33.94037591,151.1010846,140
Kingswood,Richmond,Rd,Stairs,-33.75823344,150.7201166,141
Kirrawee,Oak,Rd,Path,-34.03491126,151.0710203,142
Kogarah,Station,St,Stairs,-33.96260526,151.1322014,143
Koolewong,Glenrock,Pde,Stairs,-33.46613312,151.3184763,144
Kotara,Kotara,Pl,Ramp,-32.94136917,151.6974634,145
Lakemba,Railway,Pde,Stairs,-33.919759,151.0761338,146
Lapstone,Explorers,Rd,Ramp,-33.77327862,150.6426352,147
Lawson,Lotus,St,Ramp,-33.7189722,150.4296065,148
Leichhardt North LR,James,St,Lift,-33.87498002,151.1550356,149
Leightonfield,Christina,Rd,Ramp,-33.88126383,150.984962,150
Leppingon,Rickard,Rd,Stairs,-33.95443956,150.8082668,151
Leumeah,Plough Inn,Rd,Path,-34.05031272,150.8307679,152
Leura,Railway,Pde,Stairs,-33.71212061,150.3311289,153
Lewisham,Thomas ,St,Stairs,-33.8931095,151.1475983,154
Lewisham West LR,Smith,St,Path,-33.8937862,151.1433429,155
Lidcombe,Church,St,Stairs,-33.86338085,151.0445549,156
Lilyfield LR,Catherine ,St,Stairs,-33.87411594,151.1647681,157
Linden,Burke,Rd,Stairs,-33.71474436,150.5043663,158
Lindfield,Lindfield,Av,Stairs,-33.77508734,151.1692302,159
Lisarow,Railway,Cres,Path,-33.38205966,151.3700717,160
Lithgow,Railway,Pde,Path,-33.48051667,150.1567066,161
Liverpool,Moore,St,Path,-33.92314617,150.927698,162
Lochinvar,Station,Ln,Ramp,-32.72039462,151.4504811,163
Loftus,Pitt,St,Ramp,-34.04499976,151.0513888,164
Lysaghts,Recycling,Rd,Stairs,-34.4548118,150.8752141,165
Macarthur,Menangle ,Rd,Lift,-34.07221782,150.7973884,166
Macdonaldtown,Burren,St,Stairs,-33.89679186,151.1853862,167
Macquarie Fields,Railway,Pde,Stairs,-33.98484292,150.8790781,168
Macquarie Park,Lane Cove,Rd,Lift,-33.78506256,151.1279791,169
Macquarie University,Herring,Rd,Lift,-33.77716806,151.1180933,170
Maitland,Station,St,Path,-32.73774765,151.552236,171
Marayong,Harvey,Rd,Lift,-33.74601717,150.9003098,172
Marion LR,Marion,St,Path,-33.8839155,151.1449963,173
Marrickville,Illawarra,Rd,Stairs,-33.91375714,151.1532248,174
Martin Place,Elizabeth,St,Stairs,-33.86770938,151.2108281,175
Martins Creek,Grace,Av,Ramp,-32.55848164,151.618412,176
Marulan,Wollondilly,St,Path,-34.7095012,150.0056778,177
Mascot,Bourke,St,Escalators,-33.92315812,151.1873628,178
Meadowbank,Bank,St,Ramp,-33.81555584,151.089916,179
Medlow Bath,Great Western,Hwy,Stairs,-33.67295305,150.2803919,180
Menangle,Stevens,Rd,Ramp,-34.12539404,150.7441804,181
Menangle Park,Racecourse,Av,Ramp,-34.10338167,150.7450798,182
Merrylands,Terminal,Pl,Ramp,-33.83631419,150.9926662,183
Metford,McCubbin ,Cl,Lift,-32.76536099,151.6181329,184
Milsons Point,Ennis,Rd,Ramp,-33.84579562,151.212403,185
Mindaribba,Tocal,Rd,Ramp,-32.66835055,151.5845537,186
Minnamurra,North,St,Ramp,-34.62633044,150.8530098,187
Minto,Somerset,St,Stairs,-34.02722065,150.8423272,188
Miranda,Kiora,Rd,Stairs,-34.036075,151.1019708,189
Mittagong,Regent,St,Stairs,-34.45240354,150.4483624,190
Morisset,Dora,St,Lift,-33.10883807,151.4881562,191
Mortdale,Cook,Ln,Lift,-33.97104094,151.0808798,192
Moss Vale,Lackey,Rd,Path,-34.54759291,150.3718707,193
Mount Colah,Pacific,Hwy,Stairs,-33.67129214,151.1150982,194
Mount Druitt,North,Pde,Stairs,-33.76883389,150.8195934,195
Mount Kurring-gai,Pacific,Hwy,Ramp,-33.65376948,151.1365683,196
Mount Victoria,Station,St,Stairs,-33.58817529,150.256825,197
Mulgrave,Mulgrave,Rd,Ramp,-33.62649899,150.8298983,198
Museum,Elizabeth,St,Escalators,-33.87482734,151.209529,199
Muswellbrook,Market,St,Stairs,-32.26742612,150.8904619,200
Narara,Narara Valley,Dr,Stairs,-33.39459444,151.3444334,201
Narwee,Hannans,Rd,Path,-33.9475007,151.0707991,202
Newcastle Interchange,Charles,St,Path,-32.9239171,151.7593884,203
Newtown,King,St,Ramp,-33.89787696,151.1788814,204
Niagara Park,Washington,Av,Stairs,-33.3830702,151.3544041,205
Normanhurst,Malsbury,Rd,Path,-33.72064788,151.0969021,206
North Ryde,Delhi,Rd,Escalators,-33.79451462,151.1379238,207
North Strathfield,Queen,St,Stairs,-33.85916251,151.0885013,208
North Sydney,Blue,St,Path,-33.84100344,151.2073747,209
North Wollongong,Porter,St,Lift,-34.41208516,150.8913613,210
Noth Strathfield,Pomeroy,St,Ramp,-33.85755734,151.0873986,211
Oak Flats,Stanford,Dr,Ramp,-34.57173048,150.8202085,212
Oatley,River,Rd,Stairs,-33.98000494,151.0789686,213
Olympic Park,Murray Rose,Av,Path,-33.84608649,151.0700814,214
Otford,Lady Carrington ,Rd,Stairs,-34.21052602,151.0059083,215
Ourimbah,Station,St,Path,-33.35937321,151.3697352,216
Paddy's Markets,Hay,St,Path,-33.87925467,151.2027407,217
Padstow,Banks,St,Path,-33.95168459,151.0323447,218
Panania,Anderson,Av,Ramp,-33.95413352,150.9982975,219
Parramatta,Darcy,St,Stairs,-33.81698089,151.0046804,220
Paterson,Main,St,Stairs,-32.60237058,151.6147645,221
Pendle Hill,Wentworth,Av,Stairs,-33.80127175,150.956549,222
Pennant Hills,Yarrara,Rd,Path,-33.73771583,151.0726063,223
Penrith,Combewood,Av,Lift,-33.74985115,150.6965045,224
Penrose,Kareela,Rd,Path,-34.6721605,150.212086,225
Penshurst,Bridge,Rd,Stairs,-33.96608121,151.0888374,226
Petersham,Terminus,St,Stairs,-33.8936064,151.1555418,227
Picton,Station,St,Lift,-34.17921166,150.6126647,228
Point Clare,Brisbane Water,Dr,Stairs,-33.44618258,151.3282641,229
Port Kembla,Old Port,Rd,Ramp,-34.47718852,150.9028567,230
Port Kembla North,Flinders,St,Stairs,-34.47297995,150.8873269,231
Punchbowl,Punchbowl,Rd,Stairs,-33.92525226,151.0555798,232
Pymble,Grandview,St,Stairs,-33.74463831,151.1422732,233
Pyrmont Bay,Murray,St,Path,-33.869535,151.197707,234
Quakers Hill,Railway,Pde,Stairs,-33.72721417,150.8858872,235
Redfern,Lawson,St,Path,-33.891563,151.198824,236
Regents Park,Park,Rd,Stairs,-33.88311577,151.0237932,237
Revesby,Marco,Av,Stairs,-33.95231174,151.0152774,238
Rhodes,Walker,St,Lift,-33.83045691,151.0868768,239
Richmond,E Market,St,Stairs,-33.59877109,150.7523098,240
Riverstone,Riverstone,Pde,Path,-33.67905167,150.8604401,241
Riverwood,Belmore,Rd,Path,-33.9514708,151.0525622,242
Rockdale,Railway,St,Ramp,-33.95191037,151.1364413,243
